,Variable,Year,Month,Modelled,Observed,Yr-Mon,Mod_SE,Obs_SE,Difference_abs,Perc_Difference_abs
475,WetDep_NH4_mgm2,2003,2,1.4339663605996147,1.7700151401869157,2003-02-01,1.1815110793902779,1.4214069753652272,0.33604877958730106,0.19961722325528952
476,WetDep_NH4_mgm2,2003,3,3.7296714802249595,3.7435549375,2003-03-01,1.1815110793902779,1.4214069753652272,0.013883457275040367,2.7259490458634748
477,WetDep_NH4_mgm2,2003,4,5.593356946489618,6.165824906832298,2003-04-01,1.1815110793902779,1.4214069753652272,0.5724679603426797,4.4910091139054735
478,WetDep_NH4_mgm2,2003,5,5.097235106550315,6.231790078740158,2003-05-01,1.1815110793902779,1.4214069753652272,1.134554972189843,3.874652677356131
479,WetDep_NH4_mgm2,2003,6,4.209629045205121,5.137706764705882,2003-06-01,1.1815110793902779,1.4214069753652272,0.9280777195007612,2.9891636052495825
480,WetDep_NH4_mgm2,2003,7,2.4523157363908976,2.8659115533980586,2003-07-01,1.1815110793902779,1.4214069753652272,0.41359581700716097,1.2836605298570707
481,WetDep_NH4_mgm2,2003,8,2.4806660200606285,3.025840786516854,2003-08-01,1.1815110793902779,1.4214069753652272,0.5451747664562254,1.2608965057255626
482,WetDep_NH4_mgm2,2003,9,2.4424671803294,2.66989872,2003-09-01,1.1815110793902779,1.4214069753652272,0.22743153967059992,1.3493516856761913
483,WetDep_NH4_mgm2,2003,10,3.2902807583855473,3.4059001408450706,2003-10-01,1.1815110793902779,1.4214069753652272,0.1156193824595233,2.255141087655365
484,WetDep_NH4_mgm2,2003,11,2.602445326814287,2.6085031578947366,2003-11-01,1.1815110793902779,1.4214069753652272,0.006057831080449549,1.6001175810522406
485,WetDep_NH4_mgm2,2003,12,2.406624930146105,2.5720454716981136,2003-12-01,1.1815110793902779,1.4214069753652272,0.1654205415520087,1.3378894410884203
486,WetDep_NH4_mgm2,2004,1,1.6163598296712667,1.723369328358209,2004-01-01,1.1815110793902779,1.4214069753652272,0.10700949868694232,0.550155821923372
487,WetDep_NH4_mgm2,2004,2,1.3468192952776548,1.4376153548387096,2004-02-01,1.1815110793902779,1.4214069753652272,0.09079605956105485,0.2794041194783381
488,WetDep_NH4_mgm2,2004,3,3.0645680073217014,3.641603170731708,2004-03-01,1.1815110793902779,1.4214069753652272,0.5770351634100064,1.8762755099676258
489,WetDep_NH4_mgm2,2004,4,4.555107444562106,5.206553076923077,2004-04-01,1.1815110793902779,1.4214069753652272,0.6514456323609714,3.4120931160771284
490,WetDep_NH4_mgm2,2004,5,3.954060394171513,3.7595287704918032,2004-05-01,1.1815110793902779,1.4214069753652272,0.19453162367970966,3.0032583335774103
491,WetDep_NH4_mgm2,2004,6,3.8786960189579633,4.349759702380952,2004-06-01,1.1815110793902779,1.4214069753652272,0.4710636834229889,2.7572470368463042
492,WetDep_NH4_mgm2,2004,7,2.692729313195133,2.6817781481481484,2004-07-01,1.1815110793902779,1.4214069753652272,0.010951165046984457,1.6967962518931001
493,WetDep_NH4_mgm2,2004,8,2.65120654256648,2.840080277777778,2004-08-01,1.1815110793902779,1.4214069753652272,0.18887373521129813,1.579965870752031
494,WetDep_NH4_mgm2,2004,9,2.3496240357753173,2.38148312,2004-09-01,1.1815110793902779,1.4214069753652272,0.03185908422468264,1.3360648093886287
