,siteId,model_time,lat,lon,PREC_tot_mm,Mod_SOA_POM_BC_mgm2,time
5480,SR,2017-01-02,44.764397905759154,287.5,3.535117491537676,0.32034883495901667,2017-01-01
5481,SR,2017-01-03,44.764397905759154,287.5,2.1163399158141694e-05,4.684514970327357e-09,2017-01-02
5482,SR,2017-01-04,44.764397905759154,287.5,3.139359569104272,0.3192118069872407,2017-01-03
5483,SR,2017-01-05,44.764397905759154,287.5,16.8160446719412,0.25394707586778864,2017-01-04
5484,SR,2017-01-06,44.764397905759154,287.5,0.5031945164546414,0.2650917672875064,2017-01-05
5485,SR,2017-01-07,44.764397905759154,287.5,0.14466857791717302,0.32536063843124907,2017-01-06
5486,SR,2017-01-08,44.764397905759154,287.5,0.4909446928991201,0.10467490936527657,2017-01-07
5487,SR,2017-01-09,44.764397905759154,287.5,0.7373819698841544,0.17782519831643917,2017-01-08
5488,SR,2017-01-10,44.764397905759154,287.5,0.3401387715484816,0.04530124400603519,2017-01-09
5489,SR,2017-01-11,44.764397905759154,287.5,2.0968972478385695,0.14463881030379877,2017-01-10
5490,SR,2017-01-12,44.764397905759154,287.5,11.186373376403935,0.5665141356026027,2017-01-11
5491,SR,2017-01-13,44.764397905759154,287.5,8.352542772627203,1.193719223469003,2017-01-12
5492,SR,2017-01-14,44.764397905759154,287.5,0.11496361622675977,0.01641434137049369,2017-01-13
5493,SR,2017-01-15,44.764397905759154,287.5,0.01715038631111554,0.06009667295053811,2017-01-14
5494,SR,2017-01-16,44.764397905759154,287.5,0.010590461307913301,0.004823488483629568,2017-01-15
5495,SR,2017-01-17,44.764397905759154,287.5,0.018723261741016017,6.445117953129465e-07,2017-01-16
5496,SR,2017-01-18,44.764397905759154,287.5,0.7576826334343423,0.04351787680212382,2017-01-17
5497,SR,2017-01-19,44.764397905759154,287.5,9.419719071956933,0.6016197290348302,2017-01-18
5498,SR,2017-01-20,44.764397905759154,287.5,4.009510701052932,0.44825427120143146,2017-01-19
5499,SR,2017-01-21,44.764397905759154,287.5,0.022027704460469977,2.136654739017324e-06,2017-01-20
5500,SR,2017-01-22,44.764397905759154,287.5,0.6635703186930186,0.04956097719721608,2017-01-21
5501,SR,2017-01-23,44.764397905759154,287.5,0.2232064261420419,0.009156774167032311,2017-01-22
5502,SR,2017-01-24,44.764397905759154,287.5,0.1732380574992476,0.005118692579172968,2017-01-23
5503,SR,2017-01-25,44.764397905759154,287.5,25.807063775573624,0.8543740964706004,2017-01-24
5504,SR,2017-01-26,44.764397905759154,287.5,4.457571515104064,0.2597598386389066,2017-01-25
5505,SR,2017-01-27,44.764397905759154,287.5,0.2082324201069241,0.44896226736312883,2017-01-26
5506,SR,2017-01-28,44.764397905759154,287.5,0.47941813079432904,0.07893969852790228,2017-01-27
5507,SR,2017-01-29,44.764397905759154,287.5,0.2956422882505194,0.05431487447304928,2017-01-28
5508,SR,2017-01-30,44.764397905759154,287.5,1.3428860691444555,1.741987104564302,2017-01-29
5509,SR,2017-01-31,44.764397905759154,287.5,0.02442681976688732,0.11803125976594941,2017-01-30
5510,SR,2017-02-01,44.764397905759154,287.5,0.22777868551315805,3.44517573954014e-05,2017-01-31
5511,SR,2017-02-02,44.764397905759154,287.5,3.5888547813556215,1.8365654996799208,2017-02-01
5512,SR,2017-02-03,44.764397905759154,287.5,0.0022190955073497776,0.10299658001478029,2017-02-02
5513,SR,2017-02-04,44.764397905759154,287.5,0.0025295751493459306,0.03497855598916244,2017-02-03
5514,SR,2017-02-05,44.764397905759154,287.5,0.06800241809656882,2.9199500292956466e-06,2017-02-04
5515,SR,2017-02-06,44.764397905759154,287.5,2.2828191049484303,0.24305955997894202,2017-02-05
5516,SR,2017-02-07,44.764397905759154,287.5,0.8444519835393294,0.10441097049451731,2017-02-06
5517,SR,2017-02-08,44.764397905759154,287.5,11.67185132544546,1.5812292974981546,2017-02-07
