,siteId,time,PREC_tot_mm
5480,AB32,2017-01-01,0.34119810976562803
5481,AB32,2017-01-02,0.00023033091683943852
5482,AB32,2017-01-03,0.28461824896908183
5483,AB32,2017-01-04,0.7362705645164169
5484,AB32,2017-01-05,0.47000594776136495
5485,AB32,2017-01-06,0.009302528347632233
5486,AB32,2017-01-07,0.1653631599651817
5487,AB32,2017-01-08,0.10027847352489516
5488,AB32,2017-01-09,0.10942210018072274
5489,AB32,2017-01-10,0.02896008872710354
5490,AB32,2017-01-11,1.315026518240725
5491,AB32,2017-01-12,0.5301104323507388
5492,AB32,2017-01-13,0.29797598628533706
5493,AB32,2017-01-14,0.21263554756956182
5494,AB32,2017-01-15,0.048134670649346845
5495,AB32,2017-01-16,0.34240052713130353
5496,AB32,2017-01-17,0.34970017281921173
5497,AB32,2017-01-18,1.1995204829418071
5498,AB32,2017-01-19,0.5030846267572997
5499,AB32,2017-01-20,0.5027939025126216
5500,AB32,2017-01-21,0.4669357892339576
5501,AB32,2017-01-22,0.002510446850401138
5502,AB32,2017-01-23,0.06949001054579185
5503,AB32,2017-01-24,0.008701427578472476
5504,AB32,2017-01-25,0.005954015480647001
5505,AB32,2017-01-26,0.00019988460886466441
5506,AB32,2017-01-27,0.15202383991663737
5507,AB32,2017-01-28,0.20376018952106278
5508,AB32,2017-01-29,0.019813412910352213
5509,AB32,2017-01-30,0.5867198950681995
5510,AB32,2017-01-31,0.27487069900189454
5511,AB32,2017-02-01,0.012598104159877721
5512,AB32,2017-02-02,0.3066721021127705
5513,AB32,2017-02-03,0.640884465497038
5514,AB32,2017-02-04,0.24068828849976853
5515,AB32,2017-02-05,0.4167653870013055
5516,AB32,2017-02-06,0.04797212387330774
5517,AB32,2017-02-07,0.36364641857744573
5518,AB32,2017-02-08,0.12510033648993613
5519,AB32,2017-02-09,0.017131130913838888
5520,AB32,2017-02-10,0.602256318416039
5521,AB32,2017-02-11,0.15649772997505806
5522,AB32,2017-02-12,0.26481352790597157
5523,AB32,2017-02-13,0.11715279626400843
5524,AB32,2017-02-14,0.260287407627402
5525,AB32,2017-02-15,0.40511493040185087
5526,AB32,2017-02-16,0.1312426487487528
5527,AB32,2017-02-17,0.4016014912622268
5528,AB32,2017-02-18,0.03624305096039393
5529,AB32,2017-02-19,6.781233059882652
5530,AB32,2017-02-20,0.9931200821711172
5531,AB32,2017-02-21,0.3232400459296514
5532,AB32,2017-02-22,0.9169969871436479
5533,AB32,2017-02-23,0.5954825624598925
5534,AB32,2017-02-24,0.2178997398516458
5535,AB32,2017-02-25,0.27265594582104313
5536,AB32,2017-02-26,0.9136172650414665
5537,AB32,2017-02-27,0.02211327760903714
5538,AB32,2017-02-28,0.19075713808547334
5539,AB32,2017-03-01,0.4030864602100337
5540,AB32,2017-03-02,0.5024936626796261
5541,AB32,2017-03-03,2.152553770429222
5542,AB32,2017-03-04,0.3188355179872815
5543,AB32,2017-03-05,0.38623020941486175
5544,AB32,2017-03-06,0.35716173698574494
5545,AB32,2017-03-07,1.1645854584685367
5546,AB32,2017-03-08,0.011789729992273124
5547,AB32,2017-03-09,2.8382522772470685e-07
5548,AB32,2017-03-10,0.016748416253875575
5549,AB32,2017-03-11,0.10568157229329245
5550,AB32,2017-03-12,0.0037382056450319112
5551,AB32,2017-03-13,1.572655554582525
5552,AB32,2017-03-14,0.040133564471744876
5553,AB32,2017-03-15,0.40109064229909563
5554,AB32,2017-03-16,0.7385676582316592
5555,AB32,2017-03-17,0.10348446899399733
5556,AB32,2017-03-18,0.5278756120219441
5557,AB32,2017-03-19,4.92884760205925
5558,AB32,2017-03-20,0.7133276369586383
5559,AB32,2017-03-21,0.041355140112386835
5560,AB32,2017-03-22,2.8354783353279345
5561,AB32,2017-03-23,1.369262156458717
5562,AB32,2017-03-24,0.9026865399164308
