,siteId,SamplingInt,dateOnround,dateOffround,latitude,longitude,Modelled_RR,Modelled_global,Observed,Variable,Percent_Error_RR,Percent_Error_global,Precip_Percent_Error_RR,Precip_Percent_Error_global,Error_bin_RR,Error_bin_global,Below_90_glob,Below_90_RR
8956,KY99,593.0,2017-03-01,2017-03-08,36.9029,-88.0121,14.072776799062813,21.09531301570115,26.908506,WetDep_NO3_mgm2,91.20964102686536,27.55679889638098,56.200028639556564,59.894338632009394,"(50, 60]","(50, 60]",Y,Y
8957,KY99,593.0,2017-03-01,2017-03-08,36.9029,-88.0121,3.013295968318713,5.232874603077034,9.150096,WetDep_NH4_mgm2,203.65739363814805,74.85792597857325,56.200028639556564,59.894338632009394,"(50, 60]","(50, 60]",Y,Y
8958,KY99,593.0,2017-03-01,2017-03-08,36.9029,-88.0121,38.53904543059429,37.64861252438922,60.198,Precipitation_mm,56.200028639556564,59.894338632009394,56.200028639556564,59.894338632009394,"(50, 60]","(50, 60]",Y,Y
8959,KY99,594.0,2017-03-08,2017-03-15,36.9029,-88.0121,5.679743925556483,6.033879480024007,12.737592,WetDep_SO4_mgm2,124.26349087123695,111.10120018421914,26.50163533655147,17.139288960691765,"(20, 30]","(10, 20]",Y,Y
8960,KY99,594.0,2017-03-08,2017-03-15,36.9029,-88.0121,10.308893787930057,18.851449773714435,17.623535999999998,WetDep_NO3_mgm2,70.9546762489117,6.513630455237358,26.50163533655147,17.139288960691765,"(20, 30]","(10, 20]",Y,Y
8961,KY99,594.0,2017-03-08,2017-03-15,36.9029,-88.0121,2.9145110861399277,4.867655084261473,6.806184,WetDep_NH4_mgm2,133.52746991998336,39.82469756343968,26.50163533655147,17.139288960691765,"(20, 30]","(10, 20]",Y,Y
8962,KY99,594.0,2017-03-08,2017-03-15,36.9029,-88.0121,16.866185123406986,25.749235955600753,21.336,Precipitation_mm,26.50163533655147,17.139288960691765,26.50163533655147,17.139288960691765,"(20, 30]","(10, 20]",Y,Y
8967,KY99,596.0,2017-03-22,2017-03-29,36.9029,-88.0121,7.19345307456285,11.74450732371731,27.52344,WetDep_SO4_mgm2,282.61791263123814,134.35159297332214,54.245083508829715,15.667675692342689,"(50, 60]","(10, 20]",Y,Y
8968,KY99,596.0,2017-03-22,2017-03-29,36.9029,-88.0121,15.409772459624993,16.769359226231906,32.06496,WetDep_NO3_mgm2,108.08198228762376,91.2115994858143,54.245083508829715,15.667675692342689,"(50, 60]","(10, 20]",Y,Y
8969,KY99,596.0,2017-03-22,2017-03-29,36.9029,-88.0121,3.953640559714979,4.610940190601099,24.10968,WetDep_NH4_mgm2,509.8096080271416,422.87991176170465,54.245083508829715,15.667675692342689,"(50, 60]","(10, 20]",Y,Y
8970,KY99,596.0,2017-03-22,2017-03-29,36.9029,-88.0121,66.61579200102352,36.1427249281121,30.48,Precipitation_mm,54.245083508829715,15.667675692342689,54.245083508829715,15.667675692342689,"(50, 60]","(10, 20]",Y,Y
8971,KY99,597.0,2017-03-29,2017-04-05,36.9029,-88.0121,9.150213764801695,11.76772411102072,12.358116,WetDep_SO4_mgm2,35.05822178207689,5.017043936527772,13.988367363348681,52.24604272920105,"(10, 20]","(50, 60]",Y,Y
8972,KY99,597.0,2017-03-29,2017-04-05,36.9029,-88.0121,22.863031021126343,22.98019823026437,17.715992,WetDep_NO3_mgm2,22.51249633686048,22.90757537213729,13.988367363348681,52.24604272920105,"(10, 20]","(50, 60]",Y,Y
8973,KY99,597.0,2017-03-29,2017-04-05,36.9029,-88.0121,5.680745318356037,6.514621260413772,9.181084,WetDep_NH4_mgm2,61.617595675930325,40.93043375812256,13.988367363348681,52.24604272920105,"(10, 20]","(50, 60]",Y,Y
8974,KY99,597.0,2017-03-29,2017-04-05,36.9029,-88.0121,23.619954055642545,56.38066777863401,26.924,Precipitation_mm,13.988367363348681,52.24604272920105,13.988367363348681,52.24604272920105,"(10, 20]","(50, 60]",Y,Y
8975,KY99,598.0,2017-04-05,2017-04-12,36.9029,-88.0121,8.434558584058994,9.202899308539328,5.144515999999999,WetDep_SO4_mgm2,39.00669550481343,44.098964603182964,49.74174940062983,31.372797170700085,"(40, 50]","(30, 40]",Y,Y
8976,KY99,598.0,2017-04-05,2017-04-12,36.9029,-88.0121,19.14663571951221,24.759847997075404,11.330432,WetDep_NO3_mgm2,40.822856996995924,54.238685143227315,49.74174940062983,31.372797170700085,"(40, 50]","(30, 40]",Y,Y
8977,KY99,598.0,2017-04-05,2017-04-12,36.9029,-88.0121,6.131870801828664,7.762531135610697,2.613914,WetDep_NH4_mgm2,57.371671966401,66.32652475931928,49.74174940062983,31.372797170700085,"(40, 50]","(30, 40]",Y,Y
8978,KY99,598.0,2017-04-05,2017-04-12,36.9029,-88.0121,20.720975911028837,15.174740584871708,10.414,Precipitation_mm,49.74174940062983,31.372797170700085,49.74174940062983,31.372797170700085,"(40, 50]","(30, 40]",Y,Y
8979,KY99,599.0,2017-04-12,2017-04-19,36.9029,-88.0121,5.255065054204228,12.38146720505604,17.856199999999998,WetDep_SO4_mgm2,239.7902750169466,44.21715701599823,29.502287783628013,37.56775509822782,"(20, 30]","(30, 40]",Y,Y
8980,KY99,599.0,2017-04-12,2017-04-19,36.9029,-88.0121,25.3907012165433,16.501677792962745,23.816309999999998,WetDep_NO3_mgm2,6.200660639957069,44.326596960683766,29.502287783628013,37.56775509822782,"(20, 30]","(30, 40]",Y,Y
8981,KY99,599.0,2017-04-12,2017-04-19,36.9029,-88.0121,7.1925630111004635,4.884113411949241,10.593069999999999,WetDep_NH4_mgm2,47.27809799721528,116.88828875438261,29.502287783628013,37.56775509822782,"(20, 30]","(30, 40]",Y,Y
8982,KY99,599.0,2017-04-12,2017-04-19,36.9029,-88.0121,18.632875459556608,38.64989964394994,24.13,Precipitation_mm,29.502287783628013,37.56775509822782,29.502287783628013,37.56775509822782,"(20, 30]","(30, 40]",Y,Y
8983,KY99,600.0,2017-04-19,2017-04-26,36.9029,-88.0121,15.093580067044599,21.676360583476868,13.637260000000001,WetDep_SO4_mgm2,9.648605967409509,37.08694802578986,61.5529505550526,52.30709525497383,"(60, 70]","(50, 60]",Y,Y
8984,KY99,600.0,2017-04-19,2017-04-26,36.9029,-88.0121,31.603364279058148,30.82662104955669,18.4023,WetDep_NO3_mgm2,41.771072732929845,40.30386927449306,61.5529505550526,52.30709525497383,"(60, 70]","(50, 60]",Y,Y
8985,KY99,600.0,2017-04-19,2017-04-26,36.9029,-88.0121,10.753845454311008,10.693399149269613,7.32536,WetDep_NH4_mgm2,31.88148340867773,31.496431604721863,61.5529505550526,52.30709525497383,"(60, 70]","(50, 60]",Y,Y
8986,KY99,600.0,2017-04-19,2017-04-26,36.9029,-88.0121,46.24542131759502,37.28017845642806,17.78,Precipitation_mm,61.5529505550526,52.30709525497383,61.5529505550526,52.30709525497383,"(60, 70]","(50, 60]",Y,Y
8987,KY99,601.0,2017-04-26,2017-05-03,36.9029,-88.0121,6.227251965580188,14.184179927313775,32.442840000000004,WetDep_SO4_mgm2,420.98164935867237,128.72552495986344,62.50375212311299,58.074381286946874,"(60, 70]","(50, 60]",Y,Y
8988,KY99,601.0,2017-04-26,2017-05-03,36.9029,-88.0121,14.037244289502853,25.559062898170698,34.03638,WetDep_NO3_mgm2,142.47195032042464,33.16755835534189,62.50375212311299,58.074381286946874,"(60, 70]","(50, 60]",Y,Y
8989,KY99,601.0,2017-04-26,2017-05-03,36.9029,-88.0121,4.926343892938852,9.934872612765972,11.767679999999999,WetDep_NH4_mgm2,138.87248344288628,18.448222324249354,62.50375212311299,58.074381286946874,"(60, 70]","(50, 60]",Y,Y
8990,KY99,601.0,2017-04-26,2017-05-03,36.9029,-88.0121,25.144034809143623,25.848590813604563,40.86,Precipitation_mm,62.50375212311299,58.074381286946874,62.50375212311299,58.074381286946874,"(60, 70]","(50, 60]",Y,Y
8991,KY99,602.0,2017-05-03,2017-05-10,36.9029,-88.0121,8.008574464431549,20.87192399179187,8.38008,WetDep_SO4_mgm2,4.6388472407719625,59.84998793932191,0.47906423967022965,20.372265368031982,"(0, 10]","(20, 30]",Y,Y
8992,KY99,602.0,2017-05-03,2017-05-10,36.9029,-88.0121,41.50228367092555,54.087538299676716,19.68948,WetDep_NO3_mgm2,52.55808052366652,63.59701214185657,0.47906423967022965,20.372265368031982,"(0, 10]","(20, 30]",Y,Y
8993,KY99,602.0,2017-05-03,2017-05-10,36.9029,-88.0121,11.375885849356235,16.27030084637184,5.59908,WetDep_NH4_mgm2,50.78115169099685,65.58711450471701,0.47906423967022965,20.372265368031982,"(0, 10]","(20, 30]",Y,Y
8994,KY99,602.0,2017-05-03,2017-05-10,36.9029,-88.0121,37.2584921119487,46.566689572898575,37.08,Precipitation_mm,0.47906423967022965,20.372265368031982,0.47906423967022965,20.372265368031982,"(0, 10]","(20, 30]",Y,Y
8995,KY99,603.0,2017-05-10,2017-05-17,36.9029,-88.0121,18.855987767837014,16.47893938369773,16.415477,WetDep_SO4_mgm2,12.942895370349342,0.3851120646788171,49.246830790368584,19.500317114266856,"(40, 50]","(10, 20]",Y,Y
8996,KY99,603.0,2017-05-10,2017-05-17,36.9029,-88.0121,21.449324863014112,20.93025134423265,20.258875,WetDep_NO3_mgm2,5.550057498857928,3.207684098918621,49.246830790368584,19.500317114266856,"(40, 50]","(10, 20]",Y,Y
8997,KY99,603.0,2017-05-10,2017-05-17,36.9029,-88.0121,6.195975990243714,6.458342708799603,15.535663,WetDep_NH4_mgm2,150.73794708796015,140.55185208478318,49.246830790368584,19.500317114266856,"(40, 50]","(10, 20]",Y,Y
8998,KY99,603.0,2017-05-10,2017-05-17,36.9029,-88.0121,45.61882609609778,19.374843982933513,23.153,Precipitation_mm,49.246830790368584,19.500317114266856,49.246830790368584,19.500317114266856,"(40, 50]","(10, 20]",Y,Y
8999,KY99,604.0,2017-05-24,2017-05-31,36.9029,-88.0121,11.94354589508569,11.760552868651171,55.396312,WetDep_SO4_mgm2,363.8179690237005,371.03493023413836,104.41220845529473,202.00156435020992,"(100, 110]","(200, 210]",Y,Y
9000,KY99,604.0,2017-05-24,2017-05-31,36.9029,-88.0121,55.699474178251556,43.7300628021442,64.67662200000001,WetDep_NO3_mgm2,16.11711412753996,47.899677831765544,104.41220845529473,202.00156435020992,"(100, 110]","(200, 210]",Y,Y
9001,KY99,604.0,2017-05-24,2017-05-31,36.9029,-88.0121,16.67087552281298,11.736123972259579,39.048689,WetDep_NH4_mgm2,134.23298282423426,232.72219254243174,104.41220845529473,202.00156435020992,"(100, 110]","(200, 210]",Y,Y
9002,KY99,604.0,2017-05-24,2017-05-31,36.9029,-88.0121,34.92306087755637,23.637957026347564,71.387,Precipitation_mm,104.41220845529473,202.00156435020992,104.41220845529473,202.00156435020992,"(100, 110]","(200, 210]",Y,Y
9003,KY99,605.0,2017-05-31,2017-06-08,36.9029,-88.0121,5.247283136125547,12.961680106545371,6.662061,WetDep_SO4_mgm2,26.96210261905339,48.601871476246345,1.9932717192007516,45.01335245886754,"(0, 10]","(40, 50]",Y,Y
9004,KY99,605.0,2017-05-31,2017-06-08,36.9029,-88.0121,26.417983750581797,36.18531841664829,14.819238,WetDep_NO3_mgm2,43.904734971783604,59.046268905618085,1.9932717192007516,45.01335245886754,"(0, 10]","(40, 50]",Y,Y
9005,KY99,605.0,2017-05-31,2017-06-08,36.9029,-88.0121,7.6707730768850455,11.359524508536278,7.365645,WetDep_NH4_mgm2,3.977800853013272,35.158861671850964,1.9932717192007516,45.01335245886754,"(0, 10]","(40, 50]",Y,Y
9006,KY99,605.0,2017-05-31,2017-06-08,36.9029,-88.0121,22.43417404670933,39.986071134001655,21.987,Precipitation_mm,1.9932717192007516,45.01335245886754,1.9932717192007516,45.01335245886754,"(0, 10]","(40, 50]",Y,Y
9007,KY99,606.0,2017-06-28,2017-07-05,36.9029,-88.0121,9.930108483169928,11.340365731117657,16.418052,WetDep_SO4_mgm2,65.33607893434579,44.77533078981138,66.07201925706337,25.559387334165578,"(60, 70]","(20, 30]",Y,Y
9008,KY99,606.0,2017-06-28,2017-07-05,36.9029,-88.0121,51.82194152079239,29.614423875667928,27.160728,WetDep_NO3_mgm2,47.58836276116292,8.2854756383897,66.07201925706337,25.559387334165578,"(60, 70]","(20, 30]",Y,Y
9009,KY99,606.0,2017-06-28,2017-07-05,36.9029,-88.0121,12.320726894324535,6.963777683405975,11.466576,WetDep_NH4_mgm2,6.932633939950364,64.66028241142403,66.07201925706337,25.559387334165578,"(60, 70]","(20, 30]",Y,Y
9010,KY99,606.0,2017-06-28,2017-07-05,36.9029,-88.0121,85.34548583775731,38.898121553598884,28.956,Precipitation_mm,66.07201925706337,25.559387334165578,66.07201925706337,25.559387334165578,"(60, 70]","(20, 30]",Y,Y
9011,KY99,607.0,2017-07-05,2017-07-12,36.9029,-88.0121,4.060700109959791,6.360668402804324,6.900453,WetDep_SO4_mgm2,69.93259322635198,8.486287336684507,3.300567957891233,18.786801103645566,"(0, 10]","(10, 20]",Y,Y
9012,KY99,607.0,2017-07-05,2017-07-12,36.9029,-88.0121,32.45283208015483,33.31338475388856,14.864001,WetDep_NO3_mgm2,54.19813912299672,55.38129460632194,3.300567957891233,18.786801103645566,"(0, 10]","(10, 20]",Y,Y
9013,KY99,607.0,2017-07-05,2017-07-12,36.9029,-88.0121,5.385160174670009,6.372745920080409,7.34502,WetDep_NH4_mgm2,36.393714611285205,15.256752616732644,3.300567957891233,18.786801103645566,"(0, 10]","(10, 20]",Y,Y
9014,KY99,607.0,2017-07-05,2017-07-12,36.9029,-88.0121,18.711416967115948,23.80031849831205,19.329,Precipitation_mm,3.300567957891233,18.786801103645566,3.300567957891233,18.786801103645566,"(0, 10]","(10, 20]",Y,Y
9019,KY99,609.0,2017-08-02,2017-08-09,36.9029,-88.0121,14.140362364622488,12.599554510423493,8.772728,WetDep_SO4_mgm2,37.95966628162,30.372712838835646,39.96778174541423,10.771458321067666,"(30, 40]","(10, 20]",Y,Y
9020,KY99,609.0,2017-08-02,2017-08-09,36.9029,-88.0121,42.57655574298647,35.840979172030444,15.335360000000001,WetDep_NO3_mgm2,63.98168021722576,57.21277611754704,39.96778174541423,10.771458321067666,"(30, 40]","(10, 20]",Y,Y
9021,KY99,609.0,2017-08-02,2017-08-09,36.9029,-88.0121,8.256172165945857,6.014170332108376,4.262328,WetDep_NH4_mgm2,48.374041694760464,29.12857859638033,39.96778174541423,10.771458321067666,"(30, 40]","(10, 20]",Y,Y
9022,KY99,609.0,2017-08-02,2017-08-09,36.9029,-88.0121,37.56649455191052,25.274424052729678,22.552,Precipitation_mm,39.96778174541423,10.771458321067666,39.96778174541423,10.771458321067666,"(30, 40]","(10, 20]",Y,Y
9027,KY99,611.0,2017-08-16,2017-08-23,36.9029,-88.0121,1.371659423910239,3.7291062597153397,7.703322,WetDep_SO4_mgm2,461.60602739416623,106.57287466482737,148.1291748678084,1.1828985558408067,"(140, 150]","(0, 10]",Y,Y
9028,KY99,611.0,2017-08-16,2017-08-23,36.9029,-88.0121,37.41384372157181,32.73520336050106,10.07452,WetDep_NO3_mgm2,73.07274795133839,69.2242021867012,148.1291748678084,1.1828985558408067,"(140, 150]","(0, 10]",Y,Y
9029,KY99,611.0,2017-08-16,2017-08-23,36.9029,-88.0121,7.791573707492043,6.908790716082802,2.727492,WetDep_NH4_mgm2,64.99433744203228,60.52142680120938,148.1291748678084,1.1828985558408067,"(140, 150]","(0, 10]",Y,Y
9030,KY99,611.0,2017-08-16,2017-08-23,36.9029,-88.0121,4.951453212442836,12.433070612724586,12.286,Precipitation_mm,148.1291748678084,1.1828985558408067,148.1291748678084,1.1828985558408067,"(140, 150]","(0, 10]",Y,Y
9031,KY99,612.0,2017-08-23,2017-08-30,36.9029,-88.0121,13.122979057337801,7.761447301443806,13.361457,WetDep_SO4_mgm2,1.8172546158934242,72.1516165872113,20.28254396836873,9.049755316632627,"(20, 30]","(0, 10]",Y,Y
9032,KY99,612.0,2017-08-23,2017-08-30,36.9029,-88.0121,24.945459170771894,25.970005746475504,9.288115,WetDep_NO3_mgm2,62.766309746333704,64.23522162192617,20.28254396836873,9.049755316632627,"(20, 30]","(0, 10]",Y,Y
9033,KY99,612.0,2017-08-23,2017-08-30,36.9029,-88.0121,4.889145058647757,5.4691823155705155,4.006199,WetDep_NH4_mgm2,18.05931401208953,26.749580305733605,20.28254396836873,9.049755316632627,"(20, 30]","(0, 10]",Y,Y
9034,KY99,612.0,2017-08-23,2017-08-30,36.9029,-88.0121,28.075406710318745,20.523659071967103,22.381,Precipitation_mm,20.28254396836873,9.049755316632627,20.28254396836873,9.049755316632627,"(20, 30]","(0, 10]",Y,Y
9035,KY99,613.0,2017-08-30,2017-09-06,36.9029,-88.0121,25.245180746281907,33.58437500271158,14.496623999999999,WetDep_SO4_mgm2,42.57666781753958,56.8352128070582,63.31384945786762,68.73392620090333,"(60, 70]","(60, 70]",Y,Y
9036,KY99,613.0,2017-08-30,2017-09-06,36.9029,-88.0121,26.417545197291986,57.016370317443645,20.729471999999998,WetDep_NO3_mgm2,21.53142222266383,63.6429469561341,63.31384945786762,68.73392620090333,"(60, 70]","(60, 70]",Y,Y
9037,KY99,613.0,2017-08-30,2017-09-06,36.9029,-88.0121,6.199615846055073,9.462202573299665,16.387488,WetDep_NH4_mgm2,164.33070059377397,73.18893643475809,63.31384945786762,68.73392620090333,"(60, 70]","(60, 70]",Y,Y
9038,KY99,613.0,2017-08-30,2017-09-06,36.9029,-88.0121,190.8949261917557,223.98718959725392,70.032,Precipitation_mm,63.31384945786762,68.73392620090333,63.31384945786762,68.73392620090333,"(60, 70]","(60, 70]",Y,Y
9039,KY99,614.0,2017-09-06,2017-09-13,36.9029,-88.0121,2.128975701776806,4.275635100881278,3.0098999999999996,WetDep_SO4_mgm2,41.377846515016095,29.603440682306815,18.78030445696255,41.896091268656285,"(10, 20]","(40, 50]",Y,Y
9040,KY99,614.0,2017-09-06,2017-09-13,36.9029,-88.0121,8.435152811579101,6.055873590093963,2.6416,WetDep_NO3_mgm2,68.68343634066922,56.37953862971877,18.78030445696255,41.896091268656285,"(10, 20]","(40, 50]",Y,Y
9041,KY99,614.0,2017-09-06,2017-09-13,36.9029,-88.0121,0.8953438843695334,1.0455725561720437,0.7239,WetDep_NH4_mgm2,19.148383918460286,30.765206515148254,18.78030445696255,41.896091268656285,"(10, 20]","(40, 50]",Y,Y
9042,KY99,614.0,2017-09-06,2017-09-13,36.9029,-88.0121,10.692008290483518,21.857393551131405,12.7,Precipitation_mm,18.78030445696255,41.896091268656285,18.78030445696255,41.896091268656285,"(10, 20]","(40, 50]",Y,Y
9043,KY99,615.0,2017-10-18,2017-10-25,36.9029,-88.0121,3.786840690109339,2.611813462098247,6.994398000000001,WetDep_SO4_mgm2,84.70272642491462,167.79852778540038,32.13908293186836,52.326236028011984,"(30, 40]","(50, 60]",Y,Y
9044,KY99,615.0,2017-10-18,2017-10-25,36.9029,-88.0121,14.434081757028249,7.086799994689314,9.240774,WetDep_NO3_mgm2,35.979481372270335,30.394169539493493,32.13908293186836,52.326236028011984,"(30, 40]","(50, 60]",Y,Y
9045,KY99,615.0,2017-10-18,2017-10-25,36.9029,-88.0121,3.409398789380073,2.1239461223128595,3.420618,WetDep_NH4_mgm2,0.32906712628848395,61.05013041833362,32.13908293186836,52.326236028011984,"(30, 40]","(50, 60]",Y,Y
9046,KY99,615.0,2017-10-18,2017-10-25,36.9029,-88.0121,38.636562981388124,33.51622237328272,51.054,Precipitation_mm,32.13908293186836,52.326236028011984,32.13908293186836,52.326236028011984,"(30, 40]","(50, 60]",Y,Y
9047,KY99,616.0,2017-10-25,2017-11-01,36.9029,-88.0121,3.750318469420546,6.467978383891101,5.470652,WetDep_SO4_mgm2,45.871665156086316,15.419445222250639,179.2721197677719,168.63932687832022,"(170, 180]","(160, 170]",Y,Y
9048,KY99,616.0,2017-10-25,2017-11-01,36.9029,-88.0121,11.899131626411705,12.69734187690997,6.917436,WetDep_NO3_mgm2,41.86604353005197,45.52059740488432,179.2721197677719,168.63932687832022,"(170, 180]","(160, 170]",Y,Y
9049,KY99,616.0,2017-10-25,2017-11-01,36.9029,-88.0121,2.922101513247275,2.6598033085830877,4.114292,WetDep_NH4_mgm2,40.7990783806777,54.68406955970505,179.2721197677719,168.63932687832022,"(170, 180]","(160, 170]",Y,Y
9050,KY99,616.0,2017-10-25,2017-11-01,36.9029,-88.0121,8.094613962467134,8.415000239424868,22.606,Precipitation_mm,179.2721197677719,168.63932687832022,179.2721197677719,168.63932687832022,"(170, 180]","(160, 170]",Y,Y
9051,KY99,617.0,2017-11-01,2017-11-08,36.9029,-88.0121,18.837138989272194,26.836880661657226,33.102804,WetDep_SO4_mgm2,75.73159076254701,23.348180503314282,2.5333054550257206,217.7514310126611,"(0, 10]","(210, 220]",Y,Y
9052,KY99,617.0,2017-11-01,2017-11-08,36.9029,-88.0121,61.60850554715047,62.00172650294711,29.567124,WetDep_NO3_mgm2,52.00804866566424,52.31241827016769,2.5333054550257206,217.7514310126611,"(0, 10]","(210, 220]",Y,Y
9053,KY99,617.0,2017-11-01,2017-11-08,36.9029,-88.0121,10.133579698805296,10.951837237094253,15.291815999999999,WetDep_NH4_mgm2,50.9024101503128,39.62786032106182,2.5333054550257206,217.7514310126611,"(0, 10]","(210, 220]",Y,Y
9054,KY99,617.0,2017-11-01,2017-11-08,36.9029,-88.0121,45.34472027222236,13.908985353472403,44.196,Precipitation_mm,2.5333054550257206,217.7514310126611,2.5333054550257206,217.7514310126611,"(0, 10]","(210, 220]",Y,Y
9055,KY99,618.0,2017-11-08,2017-11-15,36.9029,-88.0121,2.1344522384473836,2.840116613103754,1.684528,WetDep_SO4_mgm2,21.079142945576603,40.68806920716176,66.34284769104849,61.14204842321824,"(60, 70]","(60, 70]",Y,Y
9056,KY99,618.0,2017-11-08,2017-11-15,36.9029,-88.0121,4.87578671980488,5.260371147927807,2.1539200000000003,WetDep_NO3_mgm2,55.82415466921417,59.05383974953015,66.34284769104849,61.14204842321824,"(60, 70]","(60, 70]",Y,Y
9057,KY99,618.0,2017-11-08,2017-11-15,36.9029,-88.0121,0.6489693063939909,0.7282574816817814,0.73406,WetDep_NH4_mgm2,13.11166687971995,0.7967674159445319,66.34284769104849,61.14204842321824,"(60, 70]","(60, 70]",Y,Y
9058,KY99,618.0,2017-11-08,2017-11-15,36.9029,-88.0121,1.5093374369194377,1.3073257322795628,0.508,Precipitation_mm,66.34284769104849,61.14204842321824,66.34284769104849,61.14204842321824,"(60, 70]","(60, 70]",Y,Y
9059,KY99,619.0,2017-11-29,2017-12-06,36.9029,-88.0121,9.197590837974051,10.728962804008855,5.233670000000001,WetDep_SO4_mgm2,43.097381779674606,51.21923623367908,16.09856327426774,29.184689407174385,"(10, 20]","(20, 30]",Y,Y
9060,KY99,619.0,2017-11-29,2017-12-06,36.9029,-88.0121,22.406446133649975,21.32523328622696,5.464810000000001,WetDep_NO3_mgm2,75.61054543231221,74.37397318635908,16.09856327426774,29.184689407174385,"(10, 20]","(20, 30]",Y,Y
9061,KY99,619.0,2017-11-29,2017-12-06,36.9029,-88.0121,3.8209865589581318,3.273337103235889,2.5425400000000002,WetDep_NH4_mgm2,33.45854635266567,22.325751372000525,16.09856327426774,29.184689407174385,"(10, 20]","(20, 30]",Y,Y
9062,KY99,619.0,2017-11-29,2017-12-06,36.9029,-88.0121,19.677851350710476,12.780152257797745,16.51,Precipitation_mm,16.09856327426774,29.184689407174385,16.09856327426774,29.184689407174385,"(10, 20]","(20, 30]",Y,Y
9063,KY99,620.0,2017-12-12,2017-12-20,36.9029,-88.0121,2.2078586284974024,0.7687105507143777,1.576832,WetDep_SO4_mgm2,28.58093450153821,105.1268840442764,79.88111193355837,74.81691692060048,"(70, 80]","(70, 80]",Y,Y
9064,KY99,620.0,2017-12-12,2017-12-20,36.9029,-88.0121,7.459087553038845,3.3389326693636976,1.647952,WetDep_NO3_mgm2,77.90678835337411,50.64434766472691,79.88111193355837,74.81691692060048,"(70, 80]","(70, 80]",Y,Y
9065,KY99,620.0,2017-12-12,2017-12-20,36.9029,-88.0121,1.5411787210366112,0.5025728329456107,0.796544,WetDep_NH4_mgm2,48.31592279808813,58.493246706433766,79.88111193355837,74.81691692060048,"(70, 80]","(70, 80]",Y,Y
9066,KY99,620.0,2017-12-12,2017-12-20,36.9029,-88.0121,10.099961753797828,8.068908773375066,2.032,Precipitation_mm,79.88111193355837,74.81691692060048,79.88111193355837,74.81691692060048,"(70, 80]","(70, 80]",Y,Y
9067,KY99,621.0,2017-12-20,2017-12-27,36.9029,-88.0121,19.636471689303686,16.14953779643158,13.400024,WetDep_SO4_mgm2,31.759512543695838,17.02534048398039,26.058402433581378,13.515793473881033,"(20, 30]","(10, 20]",Y,Y
9068,KY99,621.0,2017-12-20,2017-12-27,36.9029,-88.0121,35.38966884776215,32.339515481163986,22.1488,WetDep_NO3_mgm2,37.41450338154105,31.511651703933296,26.058402433581378,13.515793473881033,"(20, 30]","(10, 20]",Y,Y
9069,KY99,621.0,2017-12-20,2017-12-27,36.9029,-88.0121,3.4030176988708734,4.189249906200914,7.419848,WetDep_NH4_mgm2,118.0373026699778,77.11638517953216,26.058402433581378,13.515793473881033,"(20, 30]","(10, 20]",Y,Y
9070,KY99,621.0,2017-12-20,2017-12-27,36.9029,-88.0121,74.88612881302932,64.02556284456074,55.372,Precipitation_mm,26.058402433581378,13.515793473881033,26.058402433581378,13.515793473881033,"(20, 30]","(10, 20]",Y,Y
9071,LA12,439.0,2017-01-04,2017-01-11,29.931,-91.7165,5.8864330609083995,7.717851037922127,20.327112000000003,WetDep_SO4_mgm2,245.3213820605837,163.3778742310717,58.90735228238039,5.315845613339395,"(50, 60]","(0, 10]",Y,Y
9072,LA12,439.0,2017-01-04,2017-01-11,29.931,-91.7165,26.268614035947568,19.160243838398095,14.779752,WetDep_NO3_mgm2,43.73607994782485,22.86240131046437,58.90735228238039,5.315845613339395,"(50, 60]","(0, 10]",Y,Y
9073,LA12,439.0,2017-01-04,2017-01-11,29.931,-91.7165,2.2078570702702938,1.8772325260425378,4.319016,WetDep_NH4_mgm2,95.62027171764569,130.07357586676144,58.90735228238039,5.315845613339395,"(50, 60]","(0, 10]",Y,Y
9074,LA12,439.0,2017-01-04,2017-01-11,29.931,-91.7165,48.213004273037036,18.81198397507867,19.812,Precipitation_mm,58.90735228238039,5.315845613339395,58.90735228238039,5.315845613339395,"(50, 60]","(0, 10]",Y,Y
9075,LA12,440.0,2017-01-11,2017-01-18,29.931,-91.7165,2.212255742657654,0.9641923302012816,3.1046419999999997,WetDep_SO4_mgm2,40.338295439129176,221.99405686538546,80.14992815476698,143.7038424234826,"(80, 90]","(140, 150]",Y,Y
9076,LA12,440.0,2017-01-11,2017-01-18,29.931,-91.7165,8.347904467687073,3.6799104326246113,1.8394679999999999,WetDep_NO3_mgm2,77.96491314532669,50.01323989594927,80.14992815476698,143.7038424234826,"(80, 90]","(140, 150]",Y,Y
9077,LA12,440.0,2017-01-11,2017-01-18,29.931,-91.7165,0.4010670547624842,0.15932533956703648,0.8420099999999999,WetDep_NH4_mgm2,109.94244977280579,428.4846731148641,80.14992815476698,143.7038424234826,"(80, 90]","(140, 150]",Y,Y
9078,LA12,440.0,2017-01-11,2017-01-18,29.931,-91.7165,21.753069881391696,1.7718226996588091,4.318,Precipitation_mm,80.14992815476698,143.7038424234826,80.14992815476698,143.7038424234826,"(80, 90]","(140, 150]",Y,Y
9079,LA12,441.0,2017-01-18,2017-01-25,29.931,-91.7165,9.657044357941162,7.378731932494293,41.264586,WetDep_SO4_mgm2,327.300367177742,459.23682249899815,0.904344781164073,9.826137854445186,"(0, 10]","(0, 10]",Y,Y
