,siteId,SamplingInt,dateOnround,dateOffround,latitude,longitude,Modelled_RR,Modelled_global,Observed,Variable,Percent_Error_RR,Percent_Error_global,Precip_Percent_Error_RR,Precip_Percent_Error_global,Error_bin_RR,Error_bin_global,Below_90_glob,Below_90_RR
85,AL10,591.0,2017-07-19,2017-07-26,32.4583,-87.2422,35.26716583768241,40.86636069544625,5.837936000000001,WetDep_NO3_mgm2,83.44654053895577,85.71456841115162,95.67194627635536,98.44771385748392,"(90, 100]","(90, 100]",Y,Y
86,AL10,591.0,2017-07-19,2017-07-26,32.4583,-87.2422,5.881601721283158,8.282254275373408,1.64846,WetDep_NH4_mgm2,71.97260069421422,80.09648164387372,95.67194627635536,98.44771385748392,"(90, 100]","(90, 100]",Y,Y
87,AL10,591.0,2017-07-19,2017-07-26,32.4583,-87.2422,11.737377408804765,32.725925078258555,0.508,Precipitation_mm,95.67194627635536,98.44771385748392,95.67194627635536,98.44771385748392,"(90, 100]","(90, 100]",Y,Y
92,AL10,593.0,2017-08-02,2017-08-09,32.4583,-87.2422,8.766398731929748,11.038715892205136,10.07872,WetDep_SO4_mgm2,14.969901646047665,8.696626506014399,54.58889048598719,64.47915096351022,"(50, 60]","(60, 70]",Y,Y
93,AL10,593.0,2017-08-02,2017-08-09,32.4583,-87.2422,36.54850118800512,36.53524193181212,8.062975999999999,WetDep_NO3_mgm2,77.93896948461953,77.93096316414598,54.58889048598719,64.47915096351022,"(50, 60]","(60, 70]",Y,Y
94,AL10,593.0,2017-08-02,2017-08-09,32.4583,-87.2422,4.411793928034598,5.71271631171974,1.1810999999999998,WetDep_NH4_mgm2,73.2285773255469,79.32507172503995,54.58889048598719,64.47915096351022,"(50, 60]","(60, 70]",Y,Y
95,AL10,593.0,2017-08-02,2017-08-09,32.4583,-87.2422,34.678738679883025,44.33452585500541,15.748,Precipitation_mm,54.58889048598719,64.47915096351022,54.58889048598719,64.47915096351022,"(50, 60]","(60, 70]",Y,Y
96,AL10,594.0,2017-08-09,2017-08-16,32.4583,-87.2422,8.769941298170103,12.138606554439358,14.314931999999999,WetDep_SO4_mgm2,63.22722710797265,17.928956143361535,36.30678636556783,16.566736249536813,"(30, 40]","(10, 20]",Y,Y
97,AL10,594.0,2017-08-09,2017-08-16,32.4583,-87.2422,45.116514824083964,28.770784754605927,18.283428,WetDep_NO3_mgm2,59.475087844684325,36.45141015114995,36.30678636556783,16.566736249536813,"(30, 40]","(10, 20]",Y,Y
98,AL10,594.0,2017-08-09,2017-08-16,32.4583,-87.2422,6.53142349150461,5.054583485748429,2.929128,WetDep_NH4_mgm2,55.153298453087565,42.0500619238207,36.30678636556783,16.566736249536813,"(30, 40]","(10, 20]",Y,Y
99,AL10,594.0,2017-08-09,2017-08-16,32.4583,-87.2422,34.66004977425996,56.62489740458909,47.244,Precipitation_mm,36.30678636556783,16.566736249536813,36.30678636556783,16.566736249536813,"(30, 40]","(10, 20]",Y,Y
104,AL10,596.0,2017-08-30,2017-09-06,32.4583,-87.2422,7.210163968103104,11.008302519898484,5.154676000000001,WetDep_SO4_mgm2,28.508200051986805,53.174651671477356,72.91638540045305,14.322622756240142,"(70, 80]","(10, 20]",Y,Y
105,AL10,596.0,2017-08-30,2017-09-06,32.4583,-87.2422,28.061835074394416,24.240756277271736,9.048496,WetDep_NO3_mgm2,67.75515223430102,62.67238572715688,72.91638540045305,14.322622756240142,"(70, 80]","(10, 20]",Y,Y
106,AL10,596.0,2017-08-30,2017-09-06,32.4583,-87.2422,4.93282675185407,5.324539573310638,1.5760700000000003,WetDep_NH4_mgm2,68.04935426918017,70.39988193720855,72.91638540045305,14.322622756240142,"(70, 80]","(10, 20]",Y,Y
107,AL10,596.0,2017-08-30,2017-09-06,32.4583,-87.2422,10.723101779544496,21.641652203295557,18.542,Precipitation_mm,72.91638540045305,14.322622756240142,72.91638540045305,14.322622756240142,"(70, 80]","(10, 20]",Y,Y
108,AL10,597.0,2017-09-06,2017-09-13,32.4583,-87.2422,11.476433344341217,10.884597265744734,7.218934,WetDep_SO4_mgm2,37.09775691278247,33.67752776008591,63.033072266888325,44.903051516552864,"(60, 70]","(40, 50]",Y,Y
109,AL10,597.0,2017-09-06,2017-09-13,32.4583,-87.2422,8.976785652741624,11.587438711168423,8.056626000000001,WetDep_NO3_mgm2,10.250435827891181,30.471036776792502,63.033072266888325,44.903051516552864,"(60, 70]","(40, 50]",Y,Y
110,AL10,597.0,2017-09-06,2017-09-13,32.4583,-87.2422,2.5065190830951685,3.3285766122632947,2.931922,WetDep_NH4_mgm2,16.971860289191333,11.916643612826018,63.033072266888325,44.903051516552864,"(60, 70]","(40, 50]",Y,Y
111,AL10,597.0,2017-09-06,2017-09-13,32.4583,-87.2422,66.64876285602571,44.717540041989864,24.638,Precipitation_mm,63.033072266888325,44.903051516552864,63.033072266888325,44.903051516552864,"(60, 70]","(40, 50]",Y,Y
112,AL10,598.0,2017-10-11,2017-10-18,32.4583,-87.2422,0.4946925492923958,1.9661304688415366,4.870704,WetDep_SO4_mgm2,884.5921485914868,147.7304572198541,78.54265841204955,183.5572937493727,"(70, 80]","(180, 190]",Y,Y
113,AL10,598.0,2017-10-11,2017-10-18,32.4583,-87.2422,3.283841374216006,10.702959912095578,4.5339,WetDep_NO3_mgm2,38.066961321554,57.63882106223559,78.54265841204955,183.5572937493727,"(70, 80]","(180, 190]",Y,Y
114,AL10,598.0,2017-10-11,2017-10-18,32.4583,-87.2422,0.750521636024063,2.110976731893761,1.399032,WetDep_NH4_mgm2,86.40795053044211,33.72584458830459,78.54265841204955,183.5572937493727,"(70, 80]","(180, 190]",Y,Y
115,AL10,598.0,2017-10-11,2017-10-18,32.4583,-87.2422,7.255408939920745,4.568388923703592,12.954,Precipitation_mm,78.54265841204955,183.5572937493727,78.54265841204955,183.5572937493727,"(70, 80]","(180, 190]",Y,Y
116,AL10,599.0,2017-10-18,2017-10-25,32.4583,-87.2422,1.294734578283539,1.6455880719370355,1.37541,WetDep_SO4_mgm2,6.231039401404901,16.418329504479612,32.03707003322745,14.332011038551421,"(30, 40]","(10, 20]",Y,Y
117,AL10,599.0,2017-10-18,2017-10-25,32.4583,-87.2422,2.1352957188416797,2.8628581882342923,1.476756,WetDep_NO3_mgm2,30.84067995972537,48.4167254225467,32.03707003322745,14.332011038551421,"(30, 40]","(10, 20]",Y,Y
118,AL10,599.0,2017-10-18,2017-10-25,32.4583,-87.2422,0.3676026103374096,0.6558743437209003,0.912114,WetDep_NH4_mgm2,148.125006284042,39.06840673556512,32.03707003322745,14.332011038551421,"(30, 40]","(10, 20]",Y,Y
119,AL10,599.0,2017-10-18,2017-10-25,32.4583,-87.2422,21.30278963411138,16.900128245703584,14.478,Precipitation_mm,32.03707003322745,14.332011038551421,32.03707003322745,14.332011038551421,"(30, 40]","(10, 20]",Y,Y
120,AL10,600.0,2017-10-25,2017-11-01,32.4583,-87.2422,2.3340820805590776,5.165577575633268,4.0416479999999995,WetDep_SO4_mgm2,73.15792078022861,21.75806207876922,24.140307115612913,57.42744372091024,"(20, 30]","(50, 60]",Y,Y
121,AL10,600.0,2017-10-25,2017-11-01,32.4583,-87.2422,5.5845085037342646,11.428331917805519,5.138419999999999,WetDep_NO3_mgm2,7.987963550166927,55.03788272027468,24.140307115612913,57.42744372091024,"(20, 30]","(50, 60]",Y,Y
122,AL10,600.0,2017-10-25,2017-11-01,32.4583,-87.2422,0.7652465049305769,1.9270880187922523,1.2435839999999998,WetDep_NH4_mgm2,62.50763538120538,35.468230414333604,24.140307115612913,57.42744372091024,"(20, 30]","(50, 60]",Y,Y
123,AL10,600.0,2017-10-25,2017-11-01,32.4583,-87.2422,6.9566446230531875,5.485701727654316,8.636,Precipitation_mm,24.140307115612913,57.42744372091024,24.140307115612913,57.42744372091024,"(20, 30]","(50, 60]",Y,Y
124,AL10,601.0,2017-11-09,2017-11-15,32.4583,-87.2422,4.976734804209636,2.4658144523264944,5.8547,WetDep_SO4_mgm2,17.641389994253377,137.43473457526758,58.66604379925873,127.89519457874113,"(50, 60]","(120, 130]",Y,Y
125,AL10,601.0,2017-11-09,2017-11-15,32.4583,-87.2422,11.37918442867589,4.741622542918529,5.5245,WetDep_NO3_mgm2,51.45082642233927,16.51075027578217,58.66604379925873,127.89519457874113,"(50, 60]","(120, 130]",Y,Y
126,AL10,601.0,2017-11-09,2017-11-15,32.4583,-87.2422,1.35657175078564,0.5432978916164354,1.778,WetDep_NH4_mgm2,31.06568074783332,227.2606110636733,58.66604379925873,127.89519457874113,"(50, 60]","(120, 130]",Y,Y
127,AL10,601.0,2017-11-09,2017-11-15,32.4583,-87.2422,8.004233102369275,5.572737074810045,12.7,Precipitation_mm,58.66604379925873,127.89519457874113,58.66604379925873,127.89519457874113,"(50, 60]","(120, 130]",Y,Y
