,Variable,Year,Month,Modelled,Observed,Yr-Mon,Mod_SE,Obs_SE,Perc_Difference_abs,Diff_factor
483,WetDep_NH4_mgm2,2002,1,3.2970469950409425,6.390869897959184,2002-01-01,4.905399317787486,7.253871071122878,1.3586852102160274,1.938361784824915
484,WetDep_NH4_mgm2,2002,2,3.853997190831163,9.377716398104265,2002-02-01,4.905399317787486,7.253871071122878,1.4207529683355458,2.4332442224956172
485,WetDep_NH4_mgm2,2002,3,9.807867577905052,13.103437264150942,2002-03-01,4.905399317787486,7.253871071122878,8.47185471271608,1.336012865188971
486,WetDep_NH4_mgm2,2002,4,14.103836545440137,22.744878133971294,2002-04-01,4.905399317787486,7.253871071122878,12.491163422017925,1.6126731234222127
487,WetDep_NH4_mgm2,2002,5,18.696899153404438,30.45405227488152,2002-05-01,4.905399317787486,7.253871071122878,17.068070114695296,1.628829038709142
488,WetDep_NH4_mgm2,2002,6,14.75045170401419,25.596007438423648,2002-06-01,4.905399317787486,7.253871071122878,13.015182306707668,1.735269397306521
489,WetDep_NH4_mgm2,2002,7,13.972124649542824,24.72646789719626,2002-07-01,4.905399317787486,7.253871071122878,12.202424727920286,1.7696999216225375
490,WetDep_NH4_mgm2,2002,8,11.278949842152688,14.631596432160805,2002-08-01,4.905399317787486,7.253871071122878,9.981701726244033,1.2972481159086557
491,WetDep_NH4_mgm2,2002,9,8.739052670805494,13.088887454545455,2002-09-01,4.905399317787486,7.253871071122878,7.24130595298659,1.497746717818904
492,WetDep_NH4_mgm2,2002,10,12.105254205609668,16.38956537444934,2002-10-01,4.905399317787486,7.253871071122878,10.751332586445795,1.3539216191638743
493,WetDep_NH4_mgm2,2002,11,5.2201455861151285,9.314557581395349,2002-11-01,4.905399317787486,7.253871071122878,3.435797347596495,1.7843482385186333
494,WetDep_NH4_mgm2,2002,12,3.638029850728035,7.841947174887893,2002-12-01,4.905399317787486,7.253871071122878,1.4824820689200937,2.1555477818079414
495,WetDep_NH4_mgm2,2003,1,2.6965201339409606,4.476247523809524,2003-01-01,4.905399317787486,7.253871071122878,1.036511195951874,1.6600089379890866
496,WetDep_NH4_mgm2,2003,2,4.547855071289728,10.898638805309734,2003-02-01,4.905399317787486,7.253871071122878,2.151420128999673,2.396434942290055
497,WetDep_NH4_mgm2,2003,3,9.164299714879983,14.580594545454547,2003-03-01,4.905399317787486,7.253871071122878,7.573278578613544,1.5910211362664384
498,WetDep_NH4_mgm2,2003,4,16.86939277626283,27.780357753303964,2003-04-01,4.905399317787486,7.253871071122878,15.222602158381546,1.6467906178812857
499,WetDep_NH4_mgm2,2003,5,17.06761275543784,31.26232509090909,2003-05-01,4.905399317787486,7.253871071122878,15.23593743336043,1.8316753220774087
500,WetDep_NH4_mgm2,2003,6,19.051279056764088,30.033632962962965,2003-06-01,4.905399317787486,7.253871071122878,17.474816244294832,1.5764628124692568
501,WetDep_NH4_mgm2,2003,7,15.159869182913756,23.23261674528302,2003-07-01,4.905399317787486,7.253871071122878,13.627361450494282,1.5325077324194738
502,WetDep_NH4_mgm2,2003,8,11.394649898164944,16.223857847533633,2003-08-01,4.905399317787486,7.253871071122878,9.970836266984717,1.423813631180227
503,WetDep_NH4_mgm2,2003,9,10.511664953991701,15.163393160173161,2003-09-01,4.905399317787486,7.253871071122878,9.069134848005493,1.4425301059862083
504,WetDep_NH4_mgm2,2003,10,9.63374150616298,13.472064063926942,2003-10-01,4.905399317787486,7.253871071122878,8.235316599774483,1.3984249063884968
505,WetDep_NH4_mgm2,2003,11,6.453968384986177,11.222313799126638,2003-11-01,4.905399317787486,7.253871071122878,4.71514459012021,1.7388237948659666
506,WetDep_NH4_mgm2,2003,12,5.399775468257807,8.906440625,2003-12-01,4.905399317787486,7.253871071122878,3.7503660294106043,1.6494094388472027
507,WetDep_NH4_mgm2,2004,1,3.435512601497746,6.649846318181819,2004-01-01,4.905399317787486,7.253871071122878,1.4998927713499095,1.9356198301478365
508,WetDep_NH4_mgm2,2004,2,3.962143785137157,6.937842266666666,2004-02-01,4.905399317787486,7.253871071122878,2.2111113534793287,1.751032431657828
509,WetDep_NH4_mgm2,2004,3,10.471514530929348,18.588694145299144,2004-03-01,4.905399317787486,7.253871071122878,8.69634685194706,1.7751676789822872
510,WetDep_NH4_mgm2,2004,4,13.58154450850113,20.639149745762715,2004-04-01,4.905399317787486,7.253871071122878,12.061897775182691,1.5196467333184382
511,WetDep_NH4_mgm2,2004,5,14.620652110793497,24.446043686635946,2004-05-01,4.905399317787486,7.253871071122878,12.948630678275519,1.6720214325179783
512,WetDep_NH4_mgm2,2004,6,21.130987386323167,31.54374886462882,2004-06-01,4.905399317787486,7.253871071122878,19.638215265080728,1.4927721212424374
513,WetDep_NH4_mgm2,2004,7,14.06822529503148,21.5969675,2004-07-01,4.905399317787486,7.253871071122878,12.533065952109421,1.535159342922058
514,WetDep_NH4_mgm2,2004,8,13.193053758573967,17.300732424242426,2004-08-01,4.905399317787486,7.253871071122878,11.881702138180627,1.3113516203933406
515,WetDep_NH4_mgm2,2004,9,9.66519155264199,12.521106742081447,2004-09-01,4.905399317787486,7.253871071122878,8.36970695992755,1.2954845927144394
516,WetDep_NH4_mgm2,2004,10,8.542191545869981,12.290378663793105,2004-10-01,4.905399317787486,7.253871071122878,7.103406358509565,1.4387851873604163
517,WetDep_NH4_mgm2,2004,11,6.303997491780961,11.227557923728813,2004-11-01,4.905399317787486,7.253871071122878,4.52297553890628,1.7810219528746805
518,WetDep_NH4_mgm2,2004,12,5.749021231869452,9.041880729957805,2004-12-01,4.905399317787486,7.253871071122878,4.17625251780826,1.5727687140611917
519,WetDep_NH4_mgm2,2005,1,4.838464368218332,8.870126903361346,2005-01-01,4.905399317787486,7.253871071122878,3.005211867357694,1.8332525008606382
520,WetDep_NH4_mgm2,2005,2,4.748976958839568,8.461496411764706,2005-02-01,4.905399317787486,7.253871071122878,2.9672255447766305,1.7817514140629371
