Variable,Modelled_Intercept,Modelled_Slope,Modelled_Intercept_SE,Modelled_Slope_SE,Modelled_Intercept_Z_Score,Modelled_Intercept_p_value,Observed_Intercept,Observed_Slope,Observed_Intercept_SE,Observed_Slope_SE,Observed_Intercept_Z_Score,Observed_Intercept_p_value
Precipitation_mm,61.89069274455147,1.475342798452425e-09,5.721795384990397,4.227716530307882e-09,10.816656063393177,0.0,52.13512581239007,1.0135563735220276e-08,5.694173705632683,4.2073074414540915e-09,9.155872038258677,0.0
WetDep_DOC_mgm2,86.61794835710847,-3.923029113897664e-08,8.382493606070772,6.338551178879106e-09,10.333195875554022,0.0,103.8626521939694,-2.226456308846838e-08,25.924656803018372,1.960332708417469e-08,4.006326987591088,6.167026006664855e-05
WetDep_NH4_mgm2,7.913637594155322,2.024015368595136e-09,0.7824507277459227,5.781366954366231e-10,10.113911730841966,0.0,11.458059927646428,3.905635650626638e-09,1.2897439973553113,9.529652234311006e-10,8.883980038784278,0.0
WetDep_NO3_mgm2,86.69024803624545,-2.2383743687948875e-08,4.118796270882319,3.043293565697624e-09,21.04747172107031,0.0,96.57066826477731,-3.850445419004004e-08,3.522074291394374,2.6023880094980715e-09,27.41869145143597,0.0
WetDep_SO4_mgm2,69.32541531556579,-2.8158970551393102e-08,2.8912717176116693,2.1363010054892116e-09,23.97748191333326,0.0,168.728569094774,-9.219800961617582e-08,5.190115506383624,3.834869240187298e-09,32.509598078741206,0.0
