Variable,Month,Year,Modelled,Observed,Mod_SE,Obs_SE,Perc_Difference_abs,Diff_factor
Precipitation_mm,1,2012.0,54.87055616133988,54.66220747296568,14.893685285761526,14.950506431258137,53.880804218810994,0.9897519425288838
Precipitation_mm,2,2012.0,55.799871104293246,54.515491131974464,14.893685285761526,14.950506431258137,54.82298215400073,0.9768889502925098
Precipitation_mm,3,2012.0,64.18676414574277,63.72400374805214,14.893685285761526,14.950506431258137,63.19363722554158,0.9931269202011971
Precipitation_mm,4,2012.0,72.21811063010769,71.40533570860735,14.893685285761526,14.950506431258137,71.22915040072996,0.9889602293777173
Precipitation_mm,5,2012.0,73.61075030863252,74.33521753688862,14.893685285761526,14.950506431258137,72.59690442531168,1.013845883320849
Precipitation_mm,6,2012.0,74.75053724426509,78.13811385447408,14.893685285761526,14.950506431258137,73.69655273495339,1.0539845093117122
Precipitation_mm,7,2012.0,66.28516932365109,71.00048555413755,14.893685285761526,14.950506431258137,65.2071934099695,1.0779759136815907
Precipitation_mm,8,2012.0,63.85896244102107,66.35324085713827,14.893685285761526,14.950506431258137,62.81554846269847,1.043413978322605
Precipitation_mm,9,2012.0,56.50898230875761,62.15868961897458,14.893685285761526,14.950506431258137,55.403176635269595,1.1058056734880015
Precipitation_mm,10,2012.0,59.83858271185272,65.87355454713494,14.893685285761526,14.950506431258137,58.732223581486195,1.10635913036653
Precipitation_mm,11,2012.0,56.28890546945337,59.25087383795559,14.893685285761526,14.950506431258137,55.23344356714326,1.0554619023101075
Precipitation_mm,12,2012.0,68.19129884128054,67.1612532103276,14.893685285761526,14.950506431258137,67.2024936266868,0.9888052145937413
WetDep_DOC_mgm2,1,2011.5,9.988684166926875,43.41978735912933,31.463600675017695,57.68905042031317,6.480418205214512,4.25573056717394
WetDep_DOC_mgm2,2,2011.5,14.684354630557968,60.39318136173989,31.463600675017695,57.68905042031317,10.872251063338918,3.937339409884399
WetDep_DOC_mgm2,3,2011.0,18.882933232837026,44.80299240618937,31.463600675017695,57.68905042031317,16.377709657167255,2.904089313500374
WetDep_DOC_mgm2,4,2011.0,26.187192056946845,68.32404469372018,31.463600675017695,57.68905042031317,23.47511716559178,2.712074891355067
WetDep_DOC_mgm2,5,2011.0,37.225971396526084,80.71743885460727,31.463600675017695,57.68905042031317,34.906815480612046,2.319155915914037
WetDep_DOC_mgm2,6,2011.0,62.57336191100738,111.34185836149454,31.463600675017695,57.68905042031317,60.656840108354785,1.9165218026525874
WetDep_DOC_mgm2,7,2011.0,89.45640397215807,125.53492927738661,31.463600675017695,57.68905042031317,87.83200512221511,1.6243988499429576
WetDep_DOC_mgm2,8,2011.0,76.39034204314186,99.16599093310806,31.463600675017695,57.68905042031317,75.04762781095711,1.3427142321847505
WetDep_DOC_mgm2,9,2011.0,38.80747993742926,68.39186384917369,31.463600675017695,57.68905042031317,36.9149175695546,1.8925623678746517
WetDep_DOC_mgm2,10,2011.0,20.498072413003836,83.37566977502168,31.463600675017695,57.68905042031317,16.422984035724344,4.075088377279491
WetDep_DOC_mgm2,11,2011.0,15.351483856104084,52.238500985822576,31.463600675017695,57.68905042031317,11.69913463092989,4.051043160289072
WetDep_DOC_mgm2,12,2011.0,12.350672156494323,58.66090436183152,31.463600675017695,57.68905042031317,8.487642213870553,5.3068922849728155
WetDep_NH4_mgm2,1,2012.0,4.362263625770451,8.354419124073472,4.905399317787486,7.2538710711228775,2.453234337217453,1.909029288552998
WetDep_NH4_mgm2,2,2012.0,5.008213319317138,10.179025504780771,4.905399317787486,7.2538710711228775,2.958955661967388,2.04925765734975
WetDep_NH4_mgm2,3,2012.0,9.611596169991762,15.781461564443847,4.905399317787486,7.2538710711228775,7.961017114306577,1.650579055685185
WetDep_NH4_mgm2,4,2012.0,15.143743251068448,23.62584327033249,4.905399317787486,7.2538710711228775,13.58484480000358,1.5588984510648676
WetDep_NH4_mgm2,5,2012.0,16.331746155820415,27.824650556032378,4.905399317787486,7.2538710711228775,14.631195093858057,1.7005510619623565
