Variable,Modelled_Slope,Modelled_Intercept,Modelled_R-squared,Modelled_Intercept_CI,Modelled_Slope_CI,Observed_Slope,Observed_Intercept,Observed_R-squared,Observed_Intercept_CI,Observed_Slope_CI,Slope_CI_Overlap,Intercept_CI_Overlap,Slope_Z_Score,Slope_p_value,Intercept_Z_Score,Intercept_p_value
Precipitation_mm,1.472495318658822e-09,62.02312728064635,0.00037176676082428806,"(49.15100992783204, 74.89524463346065)","(-8.038446553766644e-09, 1.098343719108429e-08)",1.0709534539102447e-08,52.01799247259099,0.019051058290787903,"(39.0627264856796, 64.97325845950239)","(1.1371558568660372e-09, 2.028191322133886e-08)",True,True,-1.3481779514225136,0.17760115437540547,1.0789738374272069,0.28059939077786256
WetDep_DOC_mgm2,-4.059433028250941e-08,88.31118737054487,0.05044130534276492,"(57.91574649907636, 118.70662824201338)","(-6.357830934917596e-08, -1.761035121584285e-08)",-2.4297667676072178e-08,106.80565028883625,0.005382192370723349,"(49.80387100768517, 163.80742956998733)","(-6.740043783495183e-08, 1.8805102482807478e-08)",True,True,-0.6573743659409798,0.5109402300442736,-0.564121412790813,0.5726715062877741
WetDep_NH4_mgm2,7.884654703366567e-10,3.527786263527873,0.006072775322512047,"(1.8272791426665032, 5.228293384389243)","(-4.68004148208422e-10, 2.0449350888817354e-09)",3.7053001315164793e-09,11.900975792275212,0.009491517951658035,"(5.519858255395031, 18.282093329155394)","(-1.009575930510183e-09, 8.420176193543142e-09)",True,False,-1.1773319862904026,0.23906302482931996,-2.4971900150655686,0.012518185862838926
WetDep_NO3_mgm2,-2.2710407400238166e-08,88.35902373419448,0.05754317177180157,"(72.86476338580135, 103.8532840825876)","(-3.415879661940377e-08, -1.1262018181072563e-08)",-3.9301208961832046e-08,98.08089160864122,0.23903172444037402,"(86.25936665741354, 109.90241655986891)","(-4.803588978961147e-08, -3.0566528134052625e-08)",True,True,2.2691344549756853,0.023260150670665558,-0.9824627945524104,0.32587190361275464
WetDep_SO4_mgm2,-2.8410687749114534e-08,69.81333300311393,0.21517318892255255,"(60.66616461639076, 78.96050138983709)","(-3.516934170159664e-08, -2.165203379663243e-08)",-9.312148424451669e-08,170.4247197892538,0.5324540304726633,"(155.71402861020846, 185.13541096829914)","(-1.0399091037482714e-07, -8.225205811420625e-08)",False,False,9.957351583676846,0.0,-11.438992325084607,0.0
