,siteId,model_time,lat,lon,Mod_SOA_POM_BC_mgm2,time
5480,SR,2017-01-02,44.764397905759154,287.5,0.32034883495901667,2017-01-01
5481,SR,2017-01-03,44.764397905759154,287.5,4.684514970327357e-09,2017-01-02
5482,SR,2017-01-04,44.764397905759154,287.5,0.3192118069872407,2017-01-03
5483,SR,2017-01-05,44.764397905759154,287.5,0.25394707586778864,2017-01-04
5484,SR,2017-01-06,44.764397905759154,287.5,0.2650917672875064,2017-01-05
5485,SR,2017-01-07,44.764397905759154,287.5,0.32536063843124907,2017-01-06
5486,SR,2017-01-08,44.764397905759154,287.5,0.10467490936527657,2017-01-07
5487,SR,2017-01-09,44.764397905759154,287.5,0.17782519831643917,2017-01-08
5488,SR,2017-01-10,44.764397905759154,287.5,0.04530124400603519,2017-01-09
5489,SR,2017-01-11,44.764397905759154,287.5,0.14463881030379877,2017-01-10
5490,SR,2017-01-12,44.764397905759154,287.5,0.5665141356026027,2017-01-11
5491,SR,2017-01-13,44.764397905759154,287.5,1.193719223469003,2017-01-12
5492,SR,2017-01-14,44.764397905759154,287.5,0.01641434137049369,2017-01-13
5493,SR,2017-01-15,44.764397905759154,287.5,0.06009667295053811,2017-01-14
5494,SR,2017-01-16,44.764397905759154,287.5,0.004823488483629568,2017-01-15
5495,SR,2017-01-17,44.764397905759154,287.5,6.445117953129465e-07,2017-01-16
5496,SR,2017-01-18,44.764397905759154,287.5,0.04351787680212382,2017-01-17
5497,SR,2017-01-19,44.764397905759154,287.5,0.6016197290348302,2017-01-18
5498,SR,2017-01-20,44.764397905759154,287.5,0.44825427120143146,2017-01-19
5499,SR,2017-01-21,44.764397905759154,287.5,2.136654739017324e-06,2017-01-20
5500,SR,2017-01-22,44.764397905759154,287.5,0.04956097719721608,2017-01-21
5501,SR,2017-01-23,44.764397905759154,287.5,0.009156774167032311,2017-01-22
5502,SR,2017-01-24,44.764397905759154,287.5,0.005118692579172968,2017-01-23
5503,SR,2017-01-25,44.764397905759154,287.5,0.8543740964706004,2017-01-24
5504,SR,2017-01-26,44.764397905759154,287.5,0.2597598386389066,2017-01-25
5505,SR,2017-01-27,44.764397905759154,287.5,0.44896226736312883,2017-01-26
5506,SR,2017-01-28,44.764397905759154,287.5,0.07893969852790228,2017-01-27
5507,SR,2017-01-29,44.764397905759154,287.5,0.05431487447304928,2017-01-28
5508,SR,2017-01-30,44.764397905759154,287.5,1.741987104564302,2017-01-29
5509,SR,2017-01-31,44.764397905759154,287.5,0.11803125976594941,2017-01-30
5510,SR,2017-02-01,44.764397905759154,287.5,3.44517573954014e-05,2017-01-31
5511,SR,2017-02-02,44.764397905759154,287.5,1.8365654996799208,2017-02-01
